ID,Calendar time,Non-schedule time (min),Non Production time (min),Set up & cleaning time,DowntimeBreakdown,Quality losses (min),Net Prod Time (min)
ICP-MS,44640,5760,21650,1395,0,2480,13356
IC-Anion,44640,5760,27076,930,0,530,10344
INS003,44640,0,4462,720,0,11740,21767
LC-MSMS-114,44640,0,5820,480,0,5546,28954
LC-MSMS-105,44640,5760,11885,480,0,14795,8840
GC-MSMS-141,44640,0,924,420,0,9196,27360
GC-MSMS-109,44640,5760,6930,780,0,9465,20265
GC-MSMS-108,44640,5760,1016,840,0,11328,18560
LC-MSMS-50,44640,0,10700,480,0,5570,24300
GC-MSMS-79,44640,0,2508,720,0,6525,29344
GC-MSMS-47,44640,5760,15597,1080,0,12644,8441
GC-MSMS-131,44640,5760,25050,480,0,7260,6090
HPLC-FLD106,44640,5760,12655,7080,0,12099,7046
HPLC-FLD99,44640,5760,5459.430667,2880,600,15349,14592
HPLC-FLD-IR101,44640,5760,16470.29006,3840,0,10323,8247
HPLC-UV103,44640,5760,9430.774333,3360,0,14742,11347
GC-FID60,44640,5760,8756.552833,4620,0,4183,21320
HPLC-UV98,44640,5760,8461.259667,3240,0,17623,9555
HPLC-UV100,44640,2880,,5280,0,8381,33128
GC-FID9,44640,3035,3600.333333,7380,0,18245,12380
HPLC-139,44640,11520,,12960,0,11177,17973
MOAH-MOSH-111,44640,11520,12776,12960,0,2288,5096
LC-MSMS-119,44640,11520,4620,14580,0,6400,7520
IC-5,44640,11520,25849,3120,0,697,3454
GC-MSMS144,44640,11520,23502,2340,0,2279,4999
